tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,tripduration_datetime
795,2020-03-01 09:33:20.8480,2020-03-01 09:46:36.5050,3220,5 Corners Library,40.73496102000952,-74.0595030784607,3638,Washington St,40.7242941,-74.0354826,42582,Subscriber,1992,1,1970-01-01 13:15:00
316,2020-03-01 09:34:54.3140,2020-03-01 09:40:10.8690,3213,Van Vorst Park,40.71848892,-74.047726625,3203,Hamilton Park,40.727595966,-74.044247311,42172,Subscriber,1976,1,1970-01-01 05:16:00
595,2020-03-01 09:37:14.0140,2020-03-01 09:47:09.3330,3267,Morris Canal,40.7124188237569,-74.03852552175522,3209,Brunswick St,40.7241765,-74.0506564,42472,Subscriber,1990,1,1970-01-01 09:55:00
323,2020-03-01 09:39:01.5970,2020-03-01 09:44:24.8250,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,3195,Sip Ave,40.73089709786179,-74.06391263008118,42235,Subscriber,1966,1,1970-01-01 05:23:00
2271,2020-03-01 09:40:51.7310,2020-03-01 10:18:43.2320,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42121,Subscriber,1971,2,1970-01-02 13:51:00
1148,2020-03-01 09:41:49.1660,2020-03-01 10:00:57.5890,3185,City Hall,40.7177325,-74.043845,3213,Van Vorst Park,40.71848892,-74.047726625,42552,Subscriber,1991,2,1970-01-01 19:08:00
307,2020-03-01 09:42:47.8310,2020-03-01 09:47:55.3600,3681,Grand St,40.71517767732029,-74.03768330812454,3211,Newark Ave,40.72152515,-74.046304543,42252,Subscriber,1986,1,1970-01-01 05:07:00
124,2020-03-01 09:44:01.1750,2020-03-01 09:46:05.5690,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,42211,Subscriber,1989,1,1970-01-01 02:04:00
244,2020-03-01 09:46:21.2530,2020-03-01 09:50:26.1510,3186,Grove St PATH,40.71958611647166,-74.04311746358871,3209,Brunswick St,40.7241765,-74.0506564,42270,Subscriber,1980,1,1970-01-01 04:04:00
135,2020-03-01 09:52:06.8470,2020-03-01 09:54:22.4620,3681,Grand St,40.71517767732029,-74.03768330812454,3275,Columbus Drive,40.71835519823214,-74.03891444206238,42453,Subscriber,1978,1,1970-01-01 02:15:00
545,2020-03-01 09:52:46.0040,2020-03-01 10:01:51.7120,3483,Montgomery St,40.71942,-74.05099,3638,Washington St,40.7242941,-74.0354826,42247,Subscriber,1992,1,1970-01-01 09:05:00
245,2020-03-01 09:52:46.5480,2020-03-01 09:56:52.4820,3207,Oakland Ave,40.7376037,-74.0524783,3640,Journal Square,40.73367,-74.0625,42361,Subscriber,1957,1,1970-01-01 04:05:00
445,2020-03-01 09:55:15.2840,2020-03-01 10:02:40.9250,3279,Dixon Mills,40.721630142638354,-74.04996782541275,3639,Harborside,40.7192517,-74.034234,42339,Subscriber,1986,1,1970-01-01 07:25:00
221,2020-03-01 09:55:51.8010,2020-03-01 09:59:33.0070,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3185,City Hall,40.7177325,-74.043845,42211,Subscriber,1988,1,1970-01-01 03:41:00
